,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
28,Pochutla,15.74,-96.47,306.15,55,20,2.08,MX,1596239044
29,Soyo,-6.13,12.37,294.98,84,1,2.62,AO,1596239045
30,Campo Grande,-20.44,-54.65,297.15,50,75,3.6,BR,1596239045
31,Kapaa,22.08,-159.32,302.15,66,40,7.2,US,1596238897
32,Hobart,-42.88,147.33,283.71,71,75,4.6,AU,1596238747
33,Tsimmerbude,54.67,20.13,290.15,88,75,5.0,RU,1596239048
34,Aklavik,68.22,-135.01,295.15,60,5,3.1,CA,1596239048
35,Puerto Ayora,-0.74,-90.35,294.26,85,94,2.24,EC,1596239049
36,Caravelas,-17.71,-39.25,294.39,86,59,4.73,BR,1596239011
37,Bluff,-46.6,168.33,283.97,87,100,1.92,NZ,1596239050
38,Bambanglipuro,-7.95,110.28,296.94,83,40,1.65,ID,1596239050
39,Donskoye,45.46,41.97,294.15,68,15,4.0,RU,1596239051
40,Cerţeşti,46.02,27.62,290.75,85,89,2.87,RO,1596239052
41,Bredasdorp,-34.53,20.04,280.15,93,0,0.5,ZA,1596239052
42,Atraulī,28.03,78.28,301.78,77,77,1.87,IN,1596239053
43,Aksu,41.12,80.26,296.99,28,21,1.15,CN,1596239053
44,Srednekolymsk,67.45,153.68,285.56,65,98,3.69,RU,1596239055
45,Half Moon Bay,37.46,-122.43,298.15,77,40,6.2,US,1596239055
46,Hobyo,5.35,48.53,298.05,75,3,12.26,SO,1596239056
47,Mar del Plata,-38.0,-57.56,282.59,86,0,1.34,AR,1596238818
48,Tasiilaq,65.61,-37.64,281.15,52,0,3.1,GL,1596239057
49,Chui,-33.7,-53.46,282.53,90,100,0.83,UY,1596239058
50,Avarua,-21.21,-159.78,296.15,60,5,1.5,CK,1596239058
51,Shuyskoye,59.37,41.03,283.11,96,33,0.36,RU,1596239059
52,Tharād,24.4,71.63,303.1,76,100,2.46,IN,1596239059
53,Severo-Kuril'sk,50.68,156.12,285.43,83,57,6.77,RU,1596239060
54,Punta Arenas,-53.15,-70.92,276.15,93,75,8.2,CL,1596238806
55,Sittwe,20.15,92.9,300.51,86,60,2.72,MM,1596239061
56,Thompson,55.74,-97.86,291.15,88,75,4.25,CA,1596239062
57,Acaraú,-2.89,-40.12,298.52,76,48,6.64,BR,1596239063
58,Yellowknife,62.46,-114.35,295.37,49,75,4.6,CA,1596239063
59,Udachny,66.42,112.4,291.74,51,0,2.48,RU,1596239064
60,Tuktoyaktuk,69.45,-133.04,289.15,77,40,5.7,CA,1596239065
61,Ahipara,-35.17,173.17,288.07,78,100,6.45,NZ,1596239065
62,Mahébourg,-20.41,57.7,294.15,83,20,3.1,MU,1596239066
63,Harbour Breton,47.48,-55.8,289.3,97,96,4.89,CA,1596239066
64,North Augusta,33.5,-81.97,307.15,55,1,3.6,US,1596239067
65,Port Alfred,-33.59,26.89,287.0,74,0,2.38,ZA,1596239068
66,Awjilah,29.11,21.29,299.68,49,0,7.27,LY,1596239069
67,Gimli,50.63,-96.99,297.04,99,66,2.24,CA,1596239069
68,Saint George,37.1,-113.58,316.15,8,1,7.2,US,1596239070
69,Guerrero Negro,27.98,-114.06,302.53,47,0,6.03,MX,1596239070
70,Hermanus,-34.42,19.23,284.82,89,1,2.6,ZA,1596239071
71,Port Elizabeth,-33.92,25.57,283.15,100,0,1.5,ZA,1596239072
72,Yinzhu,35.88,119.98,300.93,94,31,1.0,CN,1596239072
73,Jamestown,42.1,-79.24,297.59,64,1,4.6,US,1596239073
74,Grindavik,63.84,-22.43,285.15,87,90,7.2,IS,1596239073
75,Petropavlovsk-Kamchatskiy,53.05,158.65,292.15,52,50,7.0,RU,1596239074
76,Lata,40.16,-8.33,292.15,93,90,3.6,PT,1596239075
77,Sambava,-14.27,50.17,294.05,83,39,6.28,MG,1596239076
78,Upernavik,72.79,-56.15,279.89,65,70,5.74,GL,1596239076
79,Yar-Sale,66.83,70.83,286.03,69,67,2.31,RU,1596239077
80,Juba,4.85,31.58,294.08,94,54,0.65,SS,1596239078
81,Leskolovo,60.26,30.45,285.37,86,46,3.57,RU,1596239078
82,Hatillo,18.49,-66.83,300.93,100,24,6.72,PR,1596239079
83,Fairbanks,64.84,-147.72,297.59,41,20,1.5,US,1596239028
84,Imeni Poliny Osipenko,52.42,136.49,287.8,97,100,1.91,RU,1596239081
85,Puri,19.8,85.85,302.29,84,69,3.57,IN,1596239081
86,Nome,64.5,-165.41,288.71,93,90,2.6,US,1596239082
87,Dikson,73.51,80.55,286.91,68,76,6.08,RU,1596239082
88,Chimbote,-9.09,-78.58,288.98,85,14,2.27,PE,1596239001
89,Takoradze,4.88,-1.76,296.72,86,89,4.37,GH,1596239084
90,Longyearbyen,78.22,15.64,282.15,87,20,1.41,SJ,1596239084
91,Lompoc,34.64,-120.46,294.26,68,5,5.1,US,1596238893
92,Modāsa,23.47,73.3,300.75,86,100,2.39,IN,1596239085
93,Pangnirtung,66.15,-65.71,285.51,72,80,0.85,CA,1596239086
94,Qaanaaq,77.48,-69.36,277.77,69,0,1.97,GL,1596239086
95,Makakilo City,21.35,-158.09,304.15,45,75,4.6,US,1596238889
96,Kyabé,9.45,18.94,296.05,90,98,1.21,TD,1596239088
97,Charters Towers,-20.1,146.27,292.77,58,9,7.86,AU,1596239088
98,Clyde River,70.47,-68.59,279.15,100,90,4.6,CA,1596239089
99,Honningsvåg,70.98,25.97,283.26,87,60,4.8,NO,1596239089
100,Manokwari,-0.87,134.08,301.76,67,98,0.91,ID,1596239090
101,Atikokan,48.76,-91.62,299.97,43,0,1.51,CA,1596239091
102,Saint-Philippe,-21.36,55.77,294.15,83,40,3.6,RE,1596239091
103,São Paulo de Olivença,-3.38,-68.87,298.31,67,10,0.76,BR,1596239092
104,Tiznit Province,29.58,-9.5,298.72,50,44,0.73,MA,1596239092
105,Phalaborwa,-23.94,31.14,288.15,67,0,1.5,ZA,1596239093
106,Klaksvík,62.23,-6.59,285.15,100,93,7.2,FO,1596239094
107,Honiara,-9.43,159.95,304.15,70,40,2.1,SB,1596239006
108,Zunyi,27.69,106.91,295.98,87,8,1.19,CN,1596239095
109,Santa Cruz de Tenerife,28.47,-16.25,292.59,93,90,2.1,ES,1596238923
110,Nichinan,31.6,131.37,302.15,70,75,2.1,JP,1596239096
111,Manicoré,-5.81,-61.3,299.3,45,3,0.53,BR,1596239096
112,George Town,5.41,100.34,298.15,94,20,1.0,MY,1596239097
113,Berlevåg,70.86,29.09,282.7,89,100,3.34,NO,1596239098
114,Puerto Lempira,15.27,-83.77,300.66,85,95,4.71,HN,1596239098
115,Pisco,-13.7,-76.22,289.15,82,90,2.6,PE,1596238817
116,Vallenar,-28.57,-70.76,293.36,23,0,0.65,CL,1596239099
117,Jiayuguan City,39.82,98.3,292.8,25,0,3.81,CN,1596239100
118,Kruisfontein,-34.0,24.73,282.34,88,0,1.59,ZA,1596239101
119,Port Macquarie,-31.43,152.92,287.04,75,4,0.45,AU,1596239102
120,Balikpapan,-1.27,116.83,296.38,97,100,3.25,ID,1596239103
121,Nicoya,10.15,-85.45,305.15,59,91,3.1,CR,1596238828
122,Monrovia,6.3,-10.8,297.15,100,75,4.98,LR,1596239104
123,Karasburg,-28.02,18.75,287.68,29,0,3.96,NA,1596239104
124,Dubbo,-32.25,148.62,281.15,87,0,3.1,AU,1596238996
125,Pokaran,26.92,71.92,302.77,64,75,2.99,IN,1596239106
126,Bengkulu,-3.8,102.27,296.05,89,74,2.07,ID,1596239106
127,Erenhot,43.65,111.98,298.88,18,37,5.84,CN,1596239107
128,Atuona,-9.8,-139.03,299.18,74,63,7.41,PF,1596239107
129,Dudinka,69.41,86.18,289.15,87,40,6.0,RU,1596239108
130,Kaitangata,-46.28,169.85,286.48,72,100,1.34,NZ,1596239109
131,Santa Cruz de la Sierra,-17.8,-63.17,295.15,68,3,1.5,BO,1596239109
132,Urengoy,65.97,78.37,284.98,81,88,4.05,RU,1596239110
133,Walvis Bay,-22.96,14.51,296.48,19,0,3.1,NA,1596239110
134,Carnarvon,-24.87,113.63,288.15,72,0,6.7,AU,1596239111
135,Bandarbeyla,9.49,50.81,299.03,72,2,13.53,SO,1596239112
136,Necochea,-38.55,-58.74,281.6,73,0,1.72,AR,1596239112
137,Aykhal,66.0,111.5,291.35,47,0,1.31,RU,1596239113
138,Lüderitz,-26.65,15.16,296.15,17,0,5.7,NA,1596239113
139,Hithadhoo,-0.6,73.08,301.37,74,100,3.7,MV,1596239114
140,Ribeira Grande,38.52,-28.7,294.49,67,15,2.42,PT,1596239115
141,Coolum Beach,-26.53,153.1,291.48,72,57,2.68,AU,1596239115
142,Paamiut,61.99,-49.67,280.34,93,100,3.46,GL,1596239116
143,Fortuna,40.6,-124.16,294.82,68,12,0.89,US,1596239116
144,Te Anau,-45.42,167.72,283.44,84,99,0.28,NZ,1596238823
145,Gigmoto,13.78,124.39,299.03,84,100,1.94,PH,1596239118
146,Ixtapa,20.7,-105.2,303.71,74,90,4.1,MX,1596239118
147,Pevek,69.7,170.31,275.31,94,99,2.17,RU,1596239119
148,Coos Bay,43.37,-124.22,289.15,82,90,3.6,US,1596239119
149,Manavālakurichi,8.13,77.3,299.15,88,75,4.1,IN,1596239120
150,Harper,4.38,-7.72,297.18,86,93,5.26,LR,1596239121
151,Sørland,67.67,12.69,286.24,91,100,1.76,NO,1596239121
152,Naples,40.83,14.25,299.15,83,0,1.0,IT,1596239122
153,Salalah,17.02,54.09,301.15,94,75,4.1,OM,1596239109
154,Yagodnoye,62.55,149.67,286.95,49,82,1.68,RU,1596239123
155,Siocon,7.71,122.14,300.99,74,88,0.98,PH,1596239124
156,Key Largo,25.09,-80.45,303.15,1,0,4.92,US,1596238859
157,Touros,-5.2,-35.46,297.15,88,20,2.1,BR,1596239125
158,Chancay,-11.57,-77.27,289.15,77,90,3.1,PE,1596239125
159,Provideniya,64.38,-173.3,284.24,62,1,1.92,RU,1596239126
160,Ancud,-41.87,-73.82,283.15,93,90,4.1,CL,1596238948
161,Tombouctou,20.0,-3.0,309.99,10,0,3.98,ML,1596239128
162,Darhan,49.49,105.92,289.11,92,100,3.67,MN,1596239128
163,Tuatapere,-46.13,167.68,285.11,85,97,1.2,NZ,1596239129
164,Saint Anthony,45.02,-93.22,302.15,37,1,2.1,US,1596239130
165,Sabang,5.89,95.32,301.71,72,100,8.62,ID,1596239131
166,Asău,46.43,26.4,288.15,96,51,1.12,RO,1596239131
167,Bairiki Village,1.33,172.98,303.15,74,40,3.1,KI,1596239132
168,Ilulissat,69.22,-51.1,281.15,75,100,7.7,GL,1596239133
169,Itoman,26.12,127.67,304.15,74,20,3.6,JP,1596239133
170,Warrington,53.39,-2.58,290.93,82,20,4.6,GB,1596239134
171,Iqaluit,63.75,-68.51,285.15,93,90,1.0,CA,1596238925
172,Skellefteå,64.75,20.95,282.59,100,0,1.51,SE,1596239135
173,Vestmannaeyjar,63.44,-20.27,285.24,88,100,5.51,IS,1596239136
174,Columbia,34.0,-81.03,307.15,56,1,3.6,US,1596239063
175,Kitaibaraki,36.78,140.75,300.93,69,0,3.77,JP,1596239137
176,Faya,18.39,42.45,291.15,100,40,3.6,SA,1596239139
177,Santa María Rayón,19.14,-99.58,290.15,67,90,1.5,MX,1596239140
178,Beira,-19.84,34.84,294.15,77,20,5.1,MZ,1596239140
179,Faanui,-16.48,-151.75,299.16,80,0,7.27,PF,1596239141
180,Galveston,29.37,-94.97,305.93,70,1,8.2,US,1596239142
181,Henderson,36.04,-114.98,317.04,12,1,5.1,US,1596238844
182,Mariehamn,60.1,19.93,287.15,87,0,2.6,AX,1596239143
183,Ciudad Ojeda,10.2,-71.31,301.5,76,25,1.11,VE,1596239143
184,Oranjemund,-28.55,16.43,295.22,22,0,5.22,NA,1596239144
185,Lagoa,39.05,-27.98,293.97,72,49,5.11,PT,1596239145
186,Nanortalik,60.14,-45.24,279.55,86,97,4.94,GL,1596239111
187,Mitsamiouli,-11.38,43.28,297.37,76,0,8.9,KM,1596239146
188,Katsuura,35.13,140.3,299.82,81,0,3.65,JP,1596239147
189,Taoudenni,22.68,-3.98,310.65,11,0,4.71,ML,1596239147
190,Aswān,24.09,32.91,309.46,19,23,6.36,EG,1596239148
191,Collingwood,44.48,-80.22,297.04,76,2,0.45,CA,1596239149
192,Ashland,40.82,-82.27,299.15,61,20,4.6,US,1596239150
193,São Filipe,14.9,-24.5,297.36,78,42,3.88,CV,1596239150
194,Khandyga,62.67,135.6,296.89,35,7,0.95,RU,1596239151
195,Nikolskoye,59.7,30.79,287.04,76,62,5.0,RU,1596239152
196,Rancho Palos Verdes,33.74,-118.39,298.15,60,5,7.2,US,1596239152
197,Arona,28.1,-16.68,296.15,78,20,6.2,ES,1596239153
198,Kahului,20.89,-156.47,303.15,58,20,12.9,US,1596239153
199,Saint-Joseph,-21.37,55.62,294.15,83,40,3.6,RE,1596239154
200,Airai,-8.93,125.41,289.99,42,56,1.77,TL,1596239155
201,Loreto,22.27,-101.97,296.73,49,82,7.53,MX,1596239155
202,Havre-St-Pierre,50.23,-63.6,290.15,93,90,1.5,CA,1596239156
203,Mandalgovi,45.76,106.27,289.0,47,52,7.55,MN,1596239156
204,Torbay,47.67,-52.73,289.26,100,90,1.5,CA,1596239095
205,Santa Engracia,41.94,-1.32,303.15,36,0,2.6,ES,1596239158
206,Tiksi,71.69,128.87,278.87,79,62,2.11,RU,1596239158
207,Avanigadda,16.02,80.92,301.29,80,92,2.19,IN,1596239159
208,Buarcos,40.17,-8.88,292.15,93,90,3.6,PT,1596239159
209,La Paz,-16.5,-68.15,281.15,33,8,3.1,BO,1596238997
210,Vanimo,-2.67,141.3,301.31,80,26,0.99,PG,1596239161
211,Ilo,-17.64,-71.34,287.99,80,26,0.67,PE,1596239161
212,Flinders,-34.58,150.86,284.82,86,24,1.79,AU,1596239162
213,Maceió,-9.67,-35.74,296.15,94,90,3.6,BR,1596239162
214,Bivolari,47.53,27.43,290.37,86,25,0.45,RO,1596239163
215,Khatanga,71.97,102.5,293.09,48,90,5.97,RU,1596239164
216,Cherskiy,68.75,161.3,280.42,75,100,3.67,RU,1596239164
217,Houma,29.6,-90.72,305.37,62,5,3.6,US,1596239165
218,Thakurgaon,26.03,88.47,299.8,87,79,2.63,BD,1596239165
219,Shache,38.42,77.24,297.44,33,97,2.19,CN,1596239166
220,Kanlagay,5.88,121.29,300.44,80,90,2.88,PH,1596239167
221,Sal Rei,16.18,-22.92,299.15,74,75,4.6,CV,1596239167
222,Plettenberg Bay,-34.05,23.37,285.64,79,0,1.84,ZA,1596239168
223,Lerwick,60.15,-1.15,288.15,82,95,6.2,GB,1596239169
224,Liepāja,56.54,21.04,289.15,93,1,4.58,LV,1596239170
225,Lexington,37.99,-84.48,298.71,69,76,0.45,US,1596239170
226,Butaritari,3.07,172.79,301.57,72,47,3.4,KI,1596239171
227,Port-Gentil,-0.72,8.78,297.15,88,75,5.44,GA,1596239171
228,Vryburg,-26.96,24.73,279.5,50,0,2.33,ZA,1596239172
229,Kedrovyy,56.17,91.82,286.15,93,98,2.0,RU,1596239172
230,Nakonde,-9.34,32.74,286.11,82,7,3.98,ZM,1596239173
231,Gataivai,-13.77,-172.39,300.02,79,22,6.63,WS,1596239174
232,Yate,51.54,-2.42,291.48,86,88,1.79,GB,1596239175
233,Clearlake,38.96,-122.63,308.71,25,0,1.34,US,1596239177
234,Chokurdakh,70.63,147.92,282.59,69,100,1.62,RU,1596239177
235,Cap Malheureux,-19.98,57.61,292.04,84,27,0.89,MU,1596239178
236,Kushiro,42.98,144.37,294.15,88,20,2.1,JP,1596239178
237,Sarankhola,22.31,89.79,300.34,90,71,1.0,BD,1596239179
238,Lagunas,-5.23,-75.68,298.08,77,29,0.53,PE,1596239180
239,Verkhoyansk,67.54,133.38,291.6,44,0,0.94,RU,1596239180
240,Iberia,29.95,-91.75,304.15,70,40,5.44,US,1596239181
241,Pacific Grove,36.62,-121.92,296.48,60,1,4.1,US,1596239160
242,Los Llanos de Aridane,28.66,-17.92,296.15,73,90,5.1,ES,1596239182
243,Lebu,-37.62,-73.65,283.68,78,100,6.52,CL,1596239183
244,Belmonte,-15.86,-38.88,297.15,69,40,3.1,BR,1596239183
245,San Vicente,-26.62,-54.13,287.89,93,71,1.13,AR,1596239184
246,Arraial do Cabo,-22.97,-42.03,291.15,93,75,3.1,BR,1596239184
247,La Ronge,55.1,-105.28,298.15,38,40,5.1,CA,1596239185
248,Skibbereen,51.55,-9.27,287.15,93,75,5.7,IE,1596239186
249,Muros,42.78,-9.06,292.59,82,71,2.68,ES,1596239187
250,Anito,12.45,125.29,297.76,89,100,0.95,PH,1596239187
251,Przhevalskoye,55.51,31.85,284.67,98,82,2.61,RU,1596239188
252,Nālūt,30.33,10.85,299.15,23,0,5.1,LY,1596239189
253,Fukuechō,32.69,128.84,300.15,94,75,0.5,JP,1596239189
254,Shalinskoye,55.72,93.76,285.22,92,100,3.51,RU,1596239190
255,Waipawa,-41.41,175.52,286.15,71,100,3.1,NZ,1596239191
256,Meulaboh,4.14,96.13,297.02,82,81,1.37,ID,1596239192
257,Matehuala,23.65,-100.65,301.18,33,100,3.37,MX,1596239192
258,Ritchie,-29.04,24.6,277.15,38,0,0.8,ZA,1596239193
259,Dalvik,65.97,-18.53,284.15,87,75,1.0,IS,1596239193
260,Saint Paul Harbor,57.79,-152.41,288.15,82,90,4.6,US,1596238963
261,Okhotsk,59.38,143.3,290.68,57,0,6.15,RU,1596239194
262,São Félix do Xingu,-6.64,-51.99,298.3,40,0,1.14,BR,1596239195
263,Arrondissement du Havre,49.58,0.33,291.15,93,90,3.1,FR,1596239196
264,Maragogi,-9.01,-35.22,296.5,86,55,5.09,BR,1596239088
265,Buala,-8.14,159.59,302.64,66,66,2.76,SB,1596239197
266,Cabo San Lucas,22.89,-109.91,306.15,51,20,6.7,MX,1596239164
267,Eureka,40.8,-124.16,292.59,38,23,1.34,US,1596239198
268,Zhangye,38.93,100.45,295.75,26,0,3.25,CN,1596239199
269,Bykovo,55.64,38.08,288.15,87,45,1.0,RU,1596239199
270,Chivacoa,10.16,-68.89,296.9,82,2,1.51,VE,1596239200
271,Bathsheba,13.22,-59.52,301.15,69,20,4.6,BB,1596239167
272,Sinnamary,5.38,-52.95,299.55,82,100,0.99,GF,1596239201
273,Seymchan,62.88,152.43,290.28,45,58,4.84,RU,1596239202
274,Kandava,57.04,22.77,285.33,97,0,2.89,LV,1596239202
275,Ponta do Sol,32.67,-17.1,294.15,73,20,5.7,PT,1596239203
276,Geraldton,-28.77,114.6,285.15,81,75,5.7,AU,1596239204
277,Kenai,60.55,-151.26,294.15,56,90,3.6,US,1596239153
278,Grants,35.15,-107.85,307.15,8,1,3.6,US,1596239205
279,Hambantota,6.12,81.12,299.85,82,23,7.92,LK,1596239206
280,Gao,16.64,1.64,305.24,50,35,9.73,ML,1596238957
281,Auki,-8.77,160.7,302.62,72,65,0.66,SB,1596239207
282,Miasskoye,55.28,61.89,293.15,72,40,8.0,RU,1596239207
283,Niquelândia,-14.47,-48.46,293.38,33,0,2.84,BR,1596239208
284,Saskylakh,71.92,114.08,292.19,51,8,2.07,RU,1596239209
285,Nemuro,43.32,145.57,292.15,93,75,1.5,JP,1596239209
286,Buin,-33.73,-70.75,288.15,58,75,1.0,CL,1596239210
287,Ranong,9.97,98.63,299.15,94,75,6.41,TH,1596239210
288,Katangli,51.71,143.23,284.65,93,91,6.58,RU,1596239211
289,Yamada,39.47,141.95,295.35,86,82,1.93,JP,1596239212
290,Henties Bay,-22.12,14.28,296.48,21,0,4.13,NA,1596239212
291,Hamilton,39.18,-84.53,299.82,74,90,2.6,US,1596238959
292,Rovaniemi,66.5,25.72,284.15,81,0,2.1,FI,1596239214
293,Umm Kaddadah,13.6,26.69,302.06,56,100,4.86,SD,1596239215
294,Victor Harbor,-35.57,138.62,288.15,61,10,0.89,AU,1596239216
295,Ranot,7.78,100.32,301.08,76,100,6.27,TH,1596239216
296,Norman Wells,65.28,-126.83,303.15,33,5,2.6,CA,1596239104
297,Lunglei,22.88,92.73,294.49,100,100,0.79,IN,1596239217
298,Beloha,-25.17,45.05,288.66,79,68,2.86,MG,1596239218
299,Poum,-20.23,164.02,294.78,77,4,13.05,NC,1596239219
300,Dunedin,-45.87,170.5,285.37,75,100,2.68,NZ,1596238985
301,Ostrovnoy,68.05,39.51,284.1,92,94,4.02,RU,1596239220
302,Arcot,12.9,79.33,299.33,77,100,4.14,IN,1596239221
303,Antalaha,-14.9,50.28,293.63,82,28,4.16,MG,1596239222
304,Tautira,-17.73,-149.15,302.15,70,20,7.2,PF,1596239222
305,Korla,41.76,86.15,297.59,68,0,1.34,CN,1596239223
306,Mareeba,-17.0,145.43,294.26,75,29,2.24,AU,1596239223
307,Constitución,-35.33,-72.42,285.26,75,100,0.51,CL,1596239224
308,Batemans Bay,-35.72,150.18,285.37,86,94,0.61,AU,1596239225
309,Zhuhai,22.28,113.57,301.15,94,75,11.3,CN,1596239225
310,Deputatsky,69.3,139.9,286.44,61,53,1.33,RU,1596239226
311,Stykkisholmur,65.08,-22.73,283.14,90,100,7.19,IS,1596239226
312,Memāri,23.2,88.12,302.15,94,40,1.95,IN,1596239227
313,Ekibastuz,51.67,75.37,291.53,76,11,1.98,KZ,1596239228
314,Porto-Novo,6.5,2.6,298.15,94,40,3.6,BJ,1596239196
315,Cidreira,-30.18,-50.21,287.61,92,20,4.47,BR,1596239229
316,Diego de Almagro,-26.37,-70.05,284.77,54,0,0.72,CL,1596239229
317,Beba,22.44,-79.73,300.15,94,75,3.6,CU,1596239230
318,Attendorn,51.13,7.9,293.15,79,0,2.21,DE,1596239231
319,Batī,11.18,40.02,293.69,73,100,1.46,ET,1596239231
320,Talnakh,69.49,88.4,289.15,87,40,6.0,RU,1596239232
321,Jieshi,22.81,115.83,301.69,83,100,7.7,CN,1596239233
322,Broome,42.25,-75.83,298.15,44,1,4.6,US,1596239233
323,Gua Musang,4.88,101.96,296.57,91,93,0.77,MY,1596239234
324,Vila Velha,-20.33,-40.29,295.15,73,90,5.1,BR,1596239235
325,Port Blair,11.67,92.75,301.21,78,99,8.71,IN,1596239235
326,Fort Nelson,58.81,-122.7,303.15,37,20,4.6,CA,1596239111
327,Quatre Cocos,-20.21,57.76,294.15,83,20,3.1,MU,1596239238
328,Chumikan,54.72,135.31,284.46,94,100,10.08,RU,1596239239
329,San Quintín,30.48,-115.95,298.85,56,1,3.21,MX,1596239110
330,Trairi,-3.28,-39.27,298.76,76,37,5.14,BR,1596239117
331,Noumea,-22.28,166.46,293.15,82,95,3.6,NC,1596239241
332,Narón,43.52,-8.15,291.15,93,75,1.03,ES,1596239241
333,Biskamzha,53.45,89.53,284.35,83,100,0.57,RU,1596239242
334,Gornopravdinsk,60.05,69.9,288.37,98,98,2.21,RU,1596239243
335,Shakawe,-18.37,21.85,284.03,43,0,2.82,BW,1596239243
336,Shenkursk,62.11,42.9,283.44,96,80,2.78,RU,1596239244
337,Sola,-13.88,167.55,298.68,82,78,7.92,VU,1596239244
338,Tabou,4.42,-7.35,297.12,86,92,5.33,CI,1596239245
339,Akdepe,42.06,59.38,294.15,52,0,4.1,TM,1596239246
340,Coquimbo,-29.95,-71.34,285.15,93,3,0.5,CL,1596239247
341,Najrān,17.49,44.13,300.15,51,93,5.7,SA,1596239247
342,Saldanha,-33.01,17.94,283.15,87,0,1.0,ZA,1596239106
343,Acapulco de Juárez,16.86,-99.89,304.15,70,75,1.5,MX,1596239069
344,Xingcheng,40.62,120.72,300.06,76,26,3.33,CN,1596239249
345,Safi,32.3,-9.24,298.78,63,74,4.79,MA,1596239250
346,Ellsworth,44.54,-68.42,298.15,69,1,1.5,US,1596239250
347,Coyhaique,-45.58,-72.07,274.15,100,90,1.0,CL,1596239251
348,Gurupá,-1.41,-51.64,299.64,62,14,1.17,BR,1596239252
349,Bambous Virieux,-20.34,57.76,294.15,83,20,3.1,MU,1596239252
350,San Policarpo,12.18,125.51,298.94,84,100,0.77,PH,1596239253
351,Uglovoye,44.82,33.6,293.09,87,64,4.84,UA,1596239253
352,Werda,-25.27,23.28,283.52,42,0,2.36,BW,1596239254
353,Sault Ste. Marie,46.52,-84.33,298.15,53,1,3.1,CA,1596239132
354,Goundam,16.41,-3.67,309.29,26,9,2.95,ML,1596239255
355,Yumen,40.28,97.2,292.33,26,0,6.28,CN,1596239256
356,Grand-Lahou,5.14,-5.02,297.07,86,55,5.21,CI,1596239256
357,Northam,51.03,-4.22,289.82,93,31,0.89,GB,1596239257
358,Seaside,36.61,-121.85,295.37,60,1,4.1,US,1596238965
359,Cayenne,4.93,-52.33,300.15,94,99,1.47,GF,1596239115
360,Bulgan,48.81,103.53,286.02,90,100,2.4,MN,1596239259
361,Churāchāndpur,24.33,93.67,294.21,96,97,0.53,IN,1596239259
362,Broken Hill,-31.95,141.43,284.15,57,0,3.79,AU,1596239260
363,Leningradskiy,69.38,178.42,277.36,75,100,2.18,RU,1596239262
364,Sūsangerd,31.56,48.18,307.15,79,0,5.1,IR,1596239262
365,Omiš,43.44,16.69,299.15,54,54,1.5,HR,1596239263
366,Margate,51.38,1.39,293.15,74,47,1.34,GB,1596239263
367,Beamsville,43.17,-79.48,300.15,44,20,3.6,CA,1596239265
368,Salta,-24.79,-65.41,288.15,30,0,3.1,AR,1596239265
369,Atasū,48.68,71.64,292.49,46,1,2.61,KZ,1596239266
370,Begoro,6.39,-0.38,293.06,97,94,2.58,GH,1596239266
371,Narsaq,60.92,-46.05,284.15,66,98,3.1,GL,1596239178
372,Korem,12.51,39.52,286.32,91,100,3.78,ET,1596239267
